Hybrid	Gen	sample	S30_equal	S37_equal	R_equal	mu	R_plot
2C	9000	A9	33813.952	8998.24875	0.266110531830175	0.255300002012273	0.266110531830175
2C	9000	B10	22938.145	8280.93075	0.361011352487309	0.255300002012273	0.361011352487309
2C	9000	C7	36495.32275	8366.779	0.229256199686575	0.255300002012273	0.229256199686575
2C	9000	E4	39418.09125	7940.35225	0.201439288362295	0.255300002012273	0.201439288362295
2C	9000	F9	42663.09425	7791.87	0.182637245070428	0.255300002012273	0.182637245070428
2C	9000	G5	40293.1925	9422.73625	0.233854298092662	0.255300002012273	0.233854298092662
2D	0	B4	36327.67475	16807.48275	0.462663323916706	0.42539375184679	0.42539375184679
2D	0	B8	32633.1645	13274.715	0.406786016722344	0.42539375184679	0.42539375184679
2D	0	D11	34641.16425	14374.7455	0.41496138513878	0.42539375184679	0.42539375184679
2D	0	D4	36802.11625	15771.6595	0.428553059092084	0.42539375184679	0.42539375184679
2D	0	G9	40364.07975	13311.23275	0.329779170798512	0.42539375184679	0.42539375184679
2D	0	H12	34072.53075	16930.73275	0.49690270658865	0.42539375184679	0.42539375184679
2D	0	H5	38047.6265	16669.0685	0.438110600670452	0.42539375184679	0.42539375184679
2D	5000	B4	36725.54425	11145.06675	0.30346906976062	0.42539375184679	0.30346906976062
2D	5000	B8	37242.50875	10413.27375	0.279607204227347	0.42539375184679	0.279607204227347
2D	5000	D11	39995.7145	11951.7435	0.298825602928034	0.42539375184679	0.298825602928034
2D	5000	D4	39972.5275	8706.3345	0.217807955726593	0.42539375184679	0.217807955726593
2D	5000	G9	36161.3155	7554.915	0.208922570861671	0.42539375184679	0.208922570861671
2D	5000	H12	38759.56475	5896.76875	0.152137125069239	0.42539375184679	0.152137125069239
2D	5000	H5	40891.02425	10739.21325	0.262630086846015	0.42539375184679	0.262630086846015
2D	9000	B4	35379.3675	9498.799	0.268484138389416	0.42539375184679	0.268484138389416
2D	9000	B8	36940.91775	10979.097	0.297206936608931	0.42539375184679	0.297206936608931
2D	9000	D11	37345.86225	9711.32925	0.260037623043501	0.42539375184679	0.260037623043501
2D	9000	D4	42552.3475	16736.80525	0.393322724439586	0.42539375184679	0.393322724439586
2D	9000	G9	34505.271	11527.85975	0.334089819204724	0.42539375184679	0.334089819204724
2D	9000	H12	36140.9555	7326.67025	0.202724862932857	0.42539375184679	0.202724862932857
2D	9000	H5	21433.69425	0	0	0.42539375184679	0
3A	0	C10	25039.2475	6956.0135	0.277804414849128	0.315398358720948	0.315398358720948
3A	0	C3	28477.35425	7560.5615	0.265493817776278	0.315398358720948	0.315398358720948
3A	0	C8	24181.28275	7537.347	0.311701702425195	0.315398358720948	0.315398358720948
3A	0	E11	23269.80275	7094.79375	0.304892732706984	0.315398358720948	0.315398358720948
3A	0	F3	19833.51725	7165.66	0.361290431226968	0.315398358720948	0.315398358720948
3A	0	G11	25965.596	7198.91	0.277248016952894	0.315398358720948	0.315398358720948
3A	0	H4	19334.08325	7147.8545	0.369702271764036	0.315398358720948	0.315398358720948
3A	0	H7	23702.17425	8415.5395	0.355053482066102	0.315398358720948	0.315398358720948
3A	5000	C10	22231.03525	3286.39225	0.147829024291615	0.315398358720948	0.147829024291615
3A	5000	C3	19833.51725	835.86175	0.042143899110986	0.315398358720948	0.042143899110986
3A	5000	C8	25114.32075	4393.83675	0.174953437671612	0.315398358720948	0.174953437671612
3A	5000	E11	24181.2225	2195.96525	0.0908128300792071	0.315398358720948	0.0908128300792071
3A	5000	F3	22900.053	1338.55125	0.0584518843690012	0.315398358720948	0.0584518843690012
3A	5000	G11	25684.894	2765.685	0.107677493237854	0.315398358720948	0.107677493237854
3A	5000	H4	28810.24525	5868.2885	0.203687557987727	0.315398358720948	0.203687557987727
3A	5000	H7	27925.88125	1843.86175	0.0660269852719509	0.315398358720948	0.0660269852719509
3A	9000	C10	23539.50475	3263.86175	0.138654648203676	0.315398358720948	0.138654648203676
3A	9000	C3	19833.51725	557.66725	0.0281174157347205	0.315398358720948	0.0281174157347205
3A	9000	C8	25828.6845	5937.83675	0.229893115539818	0.315398358720948	0.229893115539818
3A	9000	E11	26697.4545	2717.30125	0.101781285927466	0.315398358720948	0.101781285927466
3A	9000	F3	23687.626	3598.49575	0.151914579789465	0.315398358720948	0.151914579789465
3A	9000	G11	24246.1745	2681.96525	0.110613954791095	0.315398358720948	0.110613954791095
3A	9000	H4	25095.533	2761.25825	0.11002987065467	0.315398358720948	0.11002987065467
3A	9000	H7	25224.735	22204.8645	0.880281378575434	0.315398358720948	0.880281378575434
3B	0	A5	26628.2985	22607.761	0.849012602138285	0.786622253575086	0.786622253575086
3B	0	C3	23798.39675	20942.07175	0.879978259459852	0.786622253575086	0.786622253575086
3B	0	C8	25813.2505	19213.675	0.744333806391411	0.786622253575086	0.786622253575086
3B	0	D2	27004.468	19942.0005	0.738470407933976	0.786622253575086	0.786622253575086
3B	0	D7	25667.836	21325.89475	0.830841164405133	0.786622253575086	0.786622253575086
3B	0	E5	28314.31625	17814.91975	0.629184176396984	0.786622253575086	0.786622253575086
3B	0	E8	23233.95275	20306.14475	0.87398579864978	0.786622253575086	0.786622253575086
3B	0	F2	27046.41475	20208.31875	0.747171813225263	0.786622253575086	0.786622253575086
3B	5000	A5	26144.5665	1292.71525	0.0494448913505604	0.786622253575086	0.0494448913505604
3B	5000	C3	30525.95525	17045.7505	0.558401870159329	0.786622253575086	0.558401870159329
3B	5000	C8	27291.68975	14605.66175	0.535168832849567	0.786622253575086	0.535168832849567
3B	5000	D2	16573.2045	141.4425	0.00853440865947198	0.786622253575086	0.00853440865947198
3B	5000	D7	25895.7505	10488.70375	0.405035712326623	0.786622253575086	0.405035712326623
3B	5000	E5	27169.27575	19551.627	0.719622678937255	0.786622253575086	0.719622678937255
3B	5000	E8	24655.4755	16113.61875	0.653551327777069	0.786622253575086	0.653551327777069
3B	5000	F2	29972.4625	19517.927	0.651195309694691	0.786622253575086	0.651195309694691
3B	9000	A5	14675.28225	11460.7275	0.780954485560235	0.786622253575086	0.780954485560235
3B	9000	C3	26436.17225	19819.42225	0.749708469992285	0.786622253575086	0.749708469992285
3B	9000	C8	24754.048	13588.987	0.548960194308422	0.786622253575086	0.548960194308422
3B	9000	D2	20962.51525	151903.62425	7.24644072709738	0.786622253575086	7.24644072709738
3B	9000	D7	21760.6315	12312.194	0.56580131877147	0.786622253575086	0.56580131877147
3B	9000	E5	24715.73475	15930.39925	0.644544837980186	0.786622253575086	0.644544837980186
3B	9000	E8	23050.4295	15251.715	0.661667280429634	0.786622253575086	0.661667280429634
3B	9000	F2	0	0	NA	0.786622253575086	NA
3C	0	A4	28182.897	21031.06125	0.746234897356365	0.749745193829207	0.749745193829207
3C	0	B10	27725.3165	21324.00575	0.769116765538096	0.749745193829207	0.749745193829207
3C	0	B12	25755.55625	21792.925	0.846144606175997	0.749745193829207	0.749745193829207
3C	0	B6	26301.6545	20494.62675	0.779214355127355	0.749745193829207	0.749745193829207
3C	0	E6	27596.39725	19114.35825	0.692639625268476	0.749745193829207	0.749745193829207
3C	0	F10	29387.07175	20830.667	0.708837790209567	0.749745193829207	0.749745193829207
